feature,importance
BalabanJ,0.07898598823392405
BertzCT,0.07027379472521861
MolWt,0.06973512991625766
Chi1,0.06929397574848274
TPSA,0.061380264970097416
LabuteASA,0.05720073249755763
MinPartialCharge,0.05449078094672448
MaxAbsPartialCharge,0.051424451254196264
Chi0,0.04991953663802523
NumHeavyAtoms,0.04976700267226662
Kappa1,0.04697238269180946
MaxPartialCharge,0.04632830783980604
MinAbsPartialCharge,0.04382672718779479
NumRotatableBonds,0.040156302762639234
Kappa2,0.03332527518984667
LogP,0.03110752489426729
NumHeteroatoms,0.03098641030216788
FractionCSP3,0.026487121300385046
HBD,0.02173432167754501
NumAromaticRings,0.019391616654248534
